month,count,mean,std,min,max
1,30,31.46219929392495,14.535596658982238,13.587264694950337,91.55694543794732
2,29,28.402667136133147,11.863627872397956,10.224870314657151,57.94093178455601
3,19,33.95887585733199,15.862877282842204,1.9655515584994037,58.70807207596544
4,18,31.60429324815597,17.304206631828546,14.52831636231504,88.16594745891015
5,29,38.94532886838458,14.58842058416248,21.2544481051874,78.76832595351495
6,30,34.159306391144355,14.377899351053864,0.0,68.51255358439481
7,25,47.02110419283652,16.079706402437246,13.16348754675708,78.7894366220464
8,18,54.25519856621583,11.818593614269965,30.830649113005705,86.95361596101853
9,45,52.63990860368121,14.148354723632783,21.075226877529374,88.85354093859955
10,30,40.275105499177904,12.376751935274152,20.548258944324683,68.49419648170469
11,35,33.99601679760078,10.89221053436678,16.95498989582597,55.94482207238152
12,30,34.48610594743312,12.350940011909234,6.816580209771435,55.94482207238152
